Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
05/01/2018,"15149","44104","6823","8326","52430"
05/02/2018,"13214","42309","5366","7848","50157"
05/03/2018,"14067","41331","6031","8036","49367"
05/04/2018,"14710","25607","7418","7292","32899"
05/05/2018,"15186","20174","6446","8740","28914"
05/06/2018,"15122","10542","8432","6690","17232"
05/07/2018,"15798","34844","7583","8215","43059"
05/08/2018,"15125","40164","6552","8573","48737"
05/09/2018,"14410","40692","6430","7980","48672"
05/10/2018,"15949","25739","7827","8122","33861"
05/11/2018,"15041","38333","7144","7897","46230"
05/12/2018,"12455","16455","6814","5641","22096"
05/13/2018,"12861","1656","9040","3821","5477"
05/14/2018,"18112","28828","8349","9763","38591"
05/15/2018,"18787","36854","9730","9057","45911"
05/16/2018,"16160","3531","9814","6346","9877"
05/17/2018,"18409","5092","9677","8732","13824"
05/18/2018,"22640","11043","14198","8442","19485"
05/19/2018,"16257","3203","9907","6350","9553"
05/20/2018,"17485","27583","8505","8980","36563"
05/21/2018,"16158","41080","7198","8960","50040"
05/22/2018,"18105","4563","11458","6647","11210"
05/23/2018,"16733","34595","7281","9452","44047"
05/24/2018,"17554","41428","8811","8743","50171"
05/25/2018,"17826","39363","8624","9202","48565"
05/26/2018,"25865","25004","11782","14083","39087"
05/27/2018,"22969","3898","16742","6227","10125"
05/28/2018,"22592","14160","11884","10708","24868"
05/29/2018,"19604","32062","8992","10612","42674"
05/30/2018,"19676","9142","10739","8937","18079"
05/31/2018,"19987","9535","10873","9114","18649"
