Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
09/01/2018,"20831","13210","10181","10650","23860"
09/02/2018,"27000","17807","12380","14620","32427"
09/03/2018,"45112","17699","22715","22397","40096"
09/04/2018,"57902","15710","30755","27147","42857"
09/05/2018,"49921","10980","26183","23738","34718"
09/06/2018,"45818","17322","19359","26459","43781"
09/07/2018,"34994","9951","22745","12249","22200"
09/08/2018,"21214","2037","12695","8519","10556"
09/09/2018,"9017","3341","5692","3325","6666"
09/10/2018,"10757","2446","7549","3208","5654"
09/11/2018,"10816","9400","6702","4114","13514"
09/12/2018,"14422","8442","9821","4601","13043"
09/13/2018,"27600","4299","18221","9379","13678"
09/14/2018,"22596","3001","14851","7745","10746"
09/15/2018,"24303","13767","14264","10039","23806"
09/16/2018,"22114","34554","12241","9873","44427"
09/17/2018,"27664","2921","20147","7517","10438"
09/18/2018,"28417","6859","18897","9520","16379"
09/19/2018,"23229","25583","11623","11606","37189"
09/20/2018,"24411","5569","16067","8344","13913"
09/21/2018,"17533","7493","10260","7273","14766"
09/22/2018,"17641","18527","8536","9105","27632"
09/23/2018,"15303","1024","11726","3577","4601"
09/24/2018,"15887","8751","8465","7422","16173"
09/25/2018,"17457","2694","14011","3446","6140"
09/26/2018,"15844","21966","9129","6715","28681"
09/27/2018,"12594","23622","7692","4902","28524"
09/28/2018,"8736","19931","4316","4420","24351"
09/29/2018,"10947","35574","4611","6336","41910"
09/30/2018,"20294","32109","10121","10173","42282"
10/01/2018,"15838","23743","10299","5539","29282"
