Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
01/01/2018,"31770","9928","17101","14669","24597"
01/02/2018,"26528","19046","15280","11248","30294"
01/03/2018,"24263","20984","15972","8291","29275"
01/04/2018,"23545","59","21437","2108","2167"
01/05/2018,"25911","22302","16573","9338","31640"
01/06/2018,"24637","24922","15217","9420","34342"
01/07/2018,"34203","19391","18874","15329","34720"
01/08/2018,"19466","6944","14114","5352","12296"
01/09/2018,"24786","24089","14903","9883","33972"
01/10/2018,"18482","15401","10866","7616","23017"
01/11/2018,"14592","9592","7955","6637","16229"
01/12/2018,"12401","166","11277","1124","1290"
01/13/2018,"30842","19638","23388","7454","27092"
01/14/2018,"30576","24653","16997","13579","38232"
01/15/2018,"22659","4846","17141","5518","10364"
01/16/2018,"19948","11793","12905","7043","18836"
01/17/2018,"23611","180","21643","1968","2148"
01/18/2018,"22272","24224","14794","7478","31702"
01/19/2018,"21040","21558","13276","7764","29322"
01/20/2018,"16816","26780","8230","8586","35366"
01/21/2018,"15845","9251","11384","4461","13712"
01/22/2018,"12986","9616","9207","3779","13395"
01/23/2018,"13317","15323","9763","3554","18877"
01/24/2018,"17453","15777","12007","5446","21223"
01/25/2018,"18158","32850","11389","6769","39619"
01/26/2018,"24854","29037","15836","9018","38055"
01/27/2018,"22143","21168","10873","11270","32438"
01/28/2018,"15104","655","12763","2341","2996"
01/29/2018,"16720","5422","13534","3186","8608"
01/30/2018,"16694","830","13727","2967","3797"
01/31/2018,"17782","23706","8355","9427","33133"
