Time,Consumption (Wh),Export (Wh),Import (Wh),Self Consumption (Wh),System Production (Wh)
07/01/2018,"42572","18095","16351","26221","44316"
07/02/2018,"40777","24271","18704","22073","46344"
07/03/2018,"35644","15094","16640","19004","34098"
07/04/2018,"35281","19743","18260","17021","36764"
07/05/2018,"39265","23712","18402","20863","44575"
07/06/2018,"36892","3793","19475","17417","21210"
07/07/2018,"14992","43198","7178","7814","51012"
07/08/2018,"18518","40628","9270","9248","49876"
07/09/2018,"20013","37933","8564","11449","49382"
07/10/2018,"24671","34007","10605","14066","48073"
07/11/2018,"19476","34977","9320","10156","45133"
07/12/2018,"25108","25837","11099","14009","39846"
07/13/2018,"24272","31886","11720","12552","44438"
07/14/2018,"26868","33208","11429","15439","48647"
07/15/2018,"28551","18397","17772","10779","29176"
07/16/2018,"43341","25560","21006","22335","47895"
07/17/2018,"50294","10473","31687","18607","29080"
07/18/2018,"27963","31480","15264","12699","44179"
07/19/2018,"27746","36336","14461","13285","49621"
07/20/2018,"23667","35071","14939","8728","43799"
07/21/2018,"15364","7705","8903","6461","14166"
07/22/2018,"24011","22003","12597","11414","33417"
07/23/2018,"22556","14342","11506","11050","25392"
07/24/2018,"24447","19008","11203","13244","32252"
07/25/2018,"25441","9457","12871","12570","22027"
07/26/2018,"26162","27545","9922","16240","43785"
07/27/2018,"27376","15271","10491","16885","32156"
07/28/2018,"21758","31622","9442","12316","43938"
07/29/2018,"19574","34340","7213","12361","46701"
07/30/2018,"16787","12414","10179","6608","19022"
07/31/2018,"14741","12984","7736","7005","19989"
